d,cc,z,tall,o3,pv,r,ciwc,q,cswc,t,u,v,w,vo
-5.433062285714285e-06,0.0,131084.67714285714,13366.917057142857,2.308610400000001e-07,2.8187806857142857e-06,14.833560714285714,0.0,1.4665178914285716e-05,0.0,217.33936428571428,37.656529142857146,-4.392093671428571,-0.0042740894285714,-1.2572736e-05
-5.035859857142858e-06,0.0,131135.25857142857,13372.074924285716,2.3214505714285726e-07,2.978740414285714e-06,14.867427714285713,0.0,1.4606037285714286e-05,0.0,217.3377457142857,37.96905085714286,-3.301340357142857,0.0166073667142857,-3.921044714285714e-06
-3.649745385714287e-06,0.0,131125.44642857142,13371.074365714288,2.353934928571429e-07,3.2790597285714284e-06,15.197833285714283,0.0,1.4688887014285716e-05,0.0,217.31364714285715,38.10831314285714,-2.5623303285714285,0.0168837625714285,4.9766622857142855e-06
-9.581555428571427e-06,0.0,131177.5357142857,13376.385994285714,2.3562463571428575e-07,3.3530290428571427e-06,15.388372571428572,0.0,1.4515290571428573e-05,0.0,217.21873,37.86970057142857,-2.8103374285714287,0.0052598874285714,9.672728357142858e-06
-1.4998521857142856e-05,0.0,131152.91999999998,13373.87589,2.333607257142857e-07,2.9442073e-06,15.25841842857143,0.0,1.4207870114285712e-05,0.0,217.1089457142857,37.62764857142857,-3.2068268714285715,0.0145050371428571,-4.834249071428571e-06
-1.176844285714286e-05,0.0,131173.93785714285,13376.019115714284,2.253726257142857e-07,2.3526005857142856e-06,14.751975142857145,0.0,1.357690984285714e-05,0.0,217.0373785714285,37.91802357142857,-2.698582007142857,0.0236214822857142,-1.768e-05
-1.0204354714285716e-05,0.0,131177.76714285713,13376.409592857144,2.1852321857142857e-07,2.4083614857142856e-06,14.326727642857142,0.0,1.253490985714286e-05,0.0,216.9843257142857,38.53443228571429,-2.308193757142857,0.0291840448571428,-1.484955457142857e-05
-1.1098860257142855e-05,0.0,131192.86714285714,13377.949365714288,2.1508511142857146e-07,2.5641119e-06,15.014737,0.0,1.3589326857142856e-05,0.0,216.9055957142857,39.004490857142855,-2.089846357142857,0.0412486617142857,-1.6821428571428573e-05
-1.4351933357142858e-05,0.0,131256.91857142857,13384.480792857144,2.1126480857142857e-07,2.444047585714286e-06,17.157970857142857,0.0,1.8453069185714284e-05,0.0,216.95469,39.52641485714286,-1.5215988857142857,0.0561861307142857,-2.8085714285714285e-05
-1.1439570442857142e-05,0.0,131293.18785714285,13388.17923142857,2.052064557142857e-07,2.1442578e-06,16.657507857142857,0.0,1.772233681428571e-05,0.0,216.9061514285714,39.66734342857143,-1.032081852857143,0.0389720528571428,-3.2142857142857144e-05
-1.1345612428571429e-05,0.0,131362.42857142858,13395.239818571428,2.0360813285714285e-07,1.8995702428571427e-06,16.805834642857143,0.0,1.8049410842857144e-05,0.0,216.76485428571428,38.89499314285714,-0.7018881614285714,0.0388178954285714,-3.3728571428571426e-05
-7.924087714285715e-06,0.0,131411.115,13400.204454285717,2.081786742857143e-07,2.0389061285714286e-06,17.594875714285713,0.0,1.9724743928571427e-05,0.0,216.7909985714286,39.09345142857143,-0.3677218857142857,0.0143174587142857,-2.838571428571429e-05
-3.983836142857142e-06,0.0,131445.42785714284,13403.703391428571,2.107262857142857e-07,2.1310504142857145e-06,16.453504928571427,0.0,1.810212024285714e-05,0.0,216.87311285714284,39.53199728571428,-0.1291884071428571,-0.0003060645714285,-2.5865714285714286e-05
5.65993442857143e-07,0.0006690689999999,131447.99071428573,13403.964730000002,2.102220928571429e-07,2.0653319142857143e-06,16.045643714285713,1.3612244285714286e-08,1.740356897142857e-05,0.0,216.89289142857143,40.42513557142858,0.0884917528571429,-0.0183127892857142,-2.6157142857142857e-05
